exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,full_27_36,CatBoost,0.006940426840820334,0.002167871495928123,0.005338495593746278,0.0018115618736946287,0.9816499521409646,0.0115574689199572
False,full_27_36,ElasticNet,0.011210897770151934,0.0034830875155644975,0.009762093893831396,0.003947647761194414,0.9519041611184615,0.03413996875521453
False,full_27_36,ExtraTrees,0.0036753298050966263,0.0013699476273657917,0.0022440612275196705,0.0008029194004004438,0.9947586621582474,0.003644218646482422
False,full_27_36,HistGB,0.0056660236440096755,0.0007062644486240158,0.003365347377110019,0.00032675373313607387,0.9886120544229999,0.0028666149708609203
False,full_27_36,KNN,0.01677747453522658,0.009758672678817026,0.010424506731900611,0.005856585824596024,0.8776229997239436,0.14277181685254522
False,full_27_36,LightGBM,0.006073295294450465,0.0007327173531374655,0.003772425660584723,0.0005891716101554551,0.9869202424359329,0.0032231511359254146
False,full_27_36,RandomForest,0.0032651087243291146,0.00125744272382202,0.0019672837328951736,0.0007201600313848132,0.9958505895013605,0.003083948268923427
False,full_27_36,Ridge,0.01397525888846926,0.0045301596943865974,0.012526134544368971,0.004865655963701736,0.9248177469145764,0.05091170214518644
False,full_27_36,SVR-RBF,0.014915585389629707,0.0056727462857575454,0.007001975175811024,0.0029090237195215462,0.912904080056429,0.04956693465349209
False,full_27_36,XGBoost,0.004240037856840867,0.0011459833792469424,0.0028843116496335757,0.0008061982593897561,0.9933628049170601,0.003205619861879322
False,medium_32_35,CatBoost,0.0056807796888974854,0.002310894076189609,0.004384331740665335,0.002049269617511967,0.9871443484231157,0.010103645651820396
False,medium_32_35,ElasticNet,0.006203311657047699,0.0026902743532753507,0.005410917824131639,0.002915967526475065,0.9841615803276802,0.01388741088116585
False,medium_32_35,ExtraTrees,0.0028027577813240314,0.0014472616347336181,0.0018143785472462498,0.0009099830863075969,0.9966529620425353,0.003126107699166978
False,medium_32_35,HistGB,0.005177685145852591,0.0011562269514534408,0.002915330364239345,0.0006816254957600167,0.9902272055264852,0.004238250061487501
False,medium_32_35,KNN,0.008131873080528929,0.0019202724127708082,0.006097033756048117,0.0013298955162311893,0.9757206634232943,0.011854605690863298
False,medium_32_35,LightGBM,0.005506822891073723,0.0014860474876995501,0.0034176377498253987,0.001189531068700725,0.9886695034645008,0.0060940224360110685
False,medium_32_35,RandomForest,0.002544801322527765,0.0012713525797535593,0.001596752533307664,0.0006735259591403955,0.9972860094733462,0.002441263179829772
False,medium_32_35,Ridge,0.008438647148019725,0.005715381834886933,0.007648555618249382,0.005915391236174312,0.9652905054824155,0.04222048486337685
False,medium_32_35,SVR-RBF,0.005681716359693531,0.0007751669737439166,0.004012471507361865,0.0010016313275782649,0.9885099466252489,0.0031578574522994566
False,medium_32_35,XGBoost,0.0031181323639338466,0.0014808374362995508,0.0020396633756676165,0.0008837191117445761,0.9959837469918218,0.003196202372851835
False,narrow_33_345,CatBoost,0.005907581414425676,0.0023621853378977624,0.004632640102793686,0.001983302007207082,0.9861981325409175,0.010260965898538569
False,narrow_33_345,ElasticNet,0.0061618629283873485,0.0023105389622965476,0.005139886044514678,0.002516934736352227,0.9850291598382803,0.012304153932674172
